"date";"stockPrice";"stockVolume"
"2007-04-20";3,157143;12862500
"2007-04-23";3,104286;13811700
"2007-04-24";3,088571;8918000
"2007-04-25";3,08;8402800
"2007-04-26";3,161429;9762200
"2007-04-27";3,172857;5637800
"2007-04-30";3,167143;9247700
"2007-05-01";3,164286;9521400
"2007-05-02";3,158571;18639600
"2007-05-03";3,184286;13815900
"2007-05-04";3,165714;6577900
"2007-05-07";3,174286;4162200
"2007-05-08";3,162857;5741400
"2007-05-09";3,158571;3988600
"2007-05-10";3,13;7143500
"2007-05-11";3,151429;4809000
"2007-05-14";3,137143;4454100
"2007-05-15";3,107143;4726400
"2007-05-16";3,102857;5036500
"2007-05-17";3,117143;5142200
"2007-05-18";3,134286;4446400
"2007-05-21";3,214286;6663300
"2007-05-22";3,285714;7024500
"2007-05-23";3,312857;12280800
"2007-05-24";3,22;6400800
"2007-05-25";3,217143;5974500
"2007-05-29";3,121429;11567500
"2007-05-30";3,151429;7326200
"2007-05-31";3,128571;7028000
"2007-06-01";3,081429;8029700
"2007-06-04";3,068571;5546100
"2007-06-05";3,055714;5884900
"2007-06-06";3,228571;33418000
"2007-06-07";3,418571;59103100
"2007-06-08";3,347143;14037800
"2007-06-11";3,132857;18034800
"2007-06-12";2,868571;40176500
"2007-06-13";2,774286;27407800
"2007-06-14";2,74;11363100
"2007-06-15";2,815714;22093400
"2007-06-18";2,86;12236000
"2007-06-19";2,847143;7909300
"2007-06-20";2,792857;6377700
"2007-06-21";2,855714;10077900
"2007-06-22";2,811429;7343000
"2007-06-25";2,802857;6802600
"2007-06-26";2,788571;5786200
"2007-06-27";2,968571;21091700
"2007-06-28";2,835714;14725200
"2007-06-29";2,77;12084100
"2007-07-02";2,782857;7970200
"2007-07-03";2,824286;3085600
"2007-07-05";2,831429;6480600
"2007-07-06";2,912857;8071000
"2007-07-09";2,918571;8169000
"2007-07-10";2,874286;8853600
"2007-07-11";2,858571;5497100
"2007-07-12";2,872857;5622400
"2007-07-13";2,877143;4643800
"2007-07-16";2,865714;5152700
"2007-07-17";2,887143;4524800
"2007-07-18";2,874286;6498100
"2007-07-19";2,848571;5192600
"2007-07-20";2,804286;9616600
"2007-07-23";2,467143;53727800
"2007-07-24";2,295714;54085500
"2007-07-25";2,385714;37554300
"2007-07-26";2,548571;33457200
"2007-07-27";2,442857;20304900
"2007-07-30";2,484286;13633200
"2007-07-31";2,461429;9654400
"2007-08-01";2,451429;14216300
"2007-08-02";2,444286;9258900
"2007-08-03";2,367143;8661800
"2007-08-06";2,422857;11218200
"2007-08-07";2,478571;10384500
"2007-08-08";2,567143;12916400
"2007-08-09";2,538571;18304300
"2007-08-10";2,555714;10725400
"2007-08-13";2,48;6819400
"2007-08-14";2,494286;5313000
"2007-08-15";2,491429;5427100
"2007-08-16";2,414286;13841100
"2007-08-17";2,462857;7107100
"2007-08-20";2,452857;5513200
"2007-08-21";2,471429;3348100
"2007-08-22";2,49;4594100
"2007-08-23";2,464286;3038700
"2007-08-24";2,542857;6324500
"2007-08-27";2,448571;3496500
"2007-08-28";2,425714;4652900
"2007-08-29";2,5;3855600
"2007-08-30";2,457143;4953900
"2007-08-31";2,502857;4745300
"2007-09-04";2,591429;11164300
"2007-09-05";2,56;4132800
"2007-09-06";2,57;7506100
"2007-09-07";2,577143;6757100
"2007-09-10";2,485714;6353200
"2007-09-11";2,524286;5483100
"2007-09-12";2,48;2705500
"2007-09-13";2,477143;4442200
"2007-09-14";2,531429;4784500
"2007-09-17";2,63;10098200
"2007-09-18";2,747143;6933500
"2007-09-19";2,805714;8152900
"2007-09-20";2,782857;7499100
"2007-09-21";2,741429;15879500
"2007-09-24";2,755714;6366500
"2007-09-25";3,001429;18057900
"2007-09-26";3,134286;15875300
"2007-09-27";3,051429;11898600
"2007-09-28";2,964286;8662500
"2007-10-01";3,031429;9528400
"2007-10-02";3,028571;4522700
"2007-10-03";3,011429;3612700
"2007-10-04";3,02;4897900
"2007-10-05";3,142857;6549200
"2007-10-08";3,181429;3205300
"2007-10-09";3,255714;8563100
"2007-10-10";3,345714;10534300
"2007-10-11";3,272857;10007900
"2007-10-12";3,285714;4230800
"2007-10-15";3,422857;11533200
"2007-10-16";3,424286;6300000
"2007-10-17";3,468571;4249700
"2007-10-18";3,432857;7929600
"2007-10-19";3,32;11195100
"2007-10-22";3,287143;21315000
"2007-10-23";3,712857;38485300
"2007-10-24";3,607143;13043100
"2007-10-25";3,618571;9669100
"2007-10-26";3,602857;10921400
"2007-10-29";3,767143;7771400
"2007-10-30";3,777143;12056800
"2007-10-31";3,781429;10792600
"2007-11-01";3,755714;10406200
"2007-11-02";3,751429;8920100
"2007-11-05";3,787143;7676900
"2007-11-06";3,89;7774200
"2007-11-07";3,84;7448000
"2007-11-08";3,884286;10652600
"2007-11-09";3,607143;13925100
"2007-11-12";3,501429;9178400
"2007-11-13";3,63;6433000
"2007-11-14";3,548571;7147000
"2007-11-15";3,437143;6981100
"2007-11-16";3,4;11610900
"2007-11-19";3,315714;6818000
"2007-11-20";3,232857;11195800
"2007-11-21";3,078571;10418800
"2007-11-23";3,107143;6153000
"2007-11-26";3,067143;6465900
"2007-11-27";3,191429;6707400
"2007-11-28";3,287143;9417800
"2007-11-29";3,302857;6612900
"2007-11-30";3,3;8799700
"2007-12-03";3,397143;9137800
"2007-12-04";3,392857;5681200
"2007-12-05";3,418571;10406200
"2007-12-06";3,414286;6832000
"2007-12-07";3,367143;5803700
"2007-12-10";3,355714;4284700
"2007-12-11";3,328571;6779500
"2007-12-12";3,308571;5343100
"2007-12-13";3,291429;5160400
"2007-12-14";3,36;9684500
"2007-12-17";3,3;3688300
"2007-12-18";3,454286;4935000
"2007-12-19";3,552857;6424600
"2007-12-20";3,891429;22400000
"2007-12-21";4,014286;25501000
"2007-12-24";3,987143;3864000
"2007-12-26";4,1;6311900
"2007-12-27";3,921429;11615800
"2007-12-28";3,847143;7536900
"2007-12-31";3,802857;10415300
"2008-01-02";3,764286;12527900
"2008-01-03";3,724286;21340200
"2008-01-04";3,515714;17202500
"2008-01-07";3,554286;12693800
"2008-01-08";3,328571;14490000
"2008-01-09";3,285714;15200500
"2008-01-10";3,528571;13379100
"2008-01-11";3,344286;8981700
"2008-01-14";3,252857;16165800
"2008-01-15";3,15;37895200
"2008-01-16";3,152857;17956400
"2008-01-17";3,11;11844000
"2008-01-18";3,121429;12496400
"2008-01-22";3,175714;14127400
"2008-01-23";3,394286;29370600
"2008-01-24";3,134286;38927000
"2008-01-25";3,11;19865300
"2008-01-28";3,284286;11650100
"2008-01-29";3,308571;7082600
"2008-01-30";3,277143;9307200
"2008-01-31";3,592857;23223900
"2008-02-01";3,627143;12623100
"2008-02-04";3,698571;11883900
"2008-02-05";3,608571;8945300
"2008-02-06";3,717143;15107400
"2008-02-07";3,835714;16767100
"2008-02-08";3,84;10850700
"2008-02-11";3,841429;9594900
"2008-02-12";3,842857;7427700
"2008-02-13";3,901429;7099400
"2008-02-14";3,821429;6273400
"2008-02-15";3,8;6734700
"2008-02-19";3,827143;9839200
"2008-02-20";3,924286;12815600
"2008-02-21";3,981429;7112000
"2008-02-22";3,971429;5740000
"2008-02-25";4;6801900
"2008-02-26";4,142857;16592100
"2008-02-27";4,632857;41283200
"2008-02-28";4,505714;35182700
"2008-02-29";4,511429;16774800
"2008-03-03";4,42;12994800
"2008-03-04";4,502857;8935500
"2008-03-05";4,585714;12135900
"2008-03-06";4,374286;9050300
"2008-03-07";4,465714;10600800
"2008-03-10";4,744286;14315000
"2008-03-11";4,725714;17990000
"2008-03-12";4,862857;15894200
"2008-03-13";4,887143;10045000
"2008-03-14";4,751429;7955500
"2008-03-17";4,712857;9300900
"2008-03-18";5;12412400
"2008-03-19";4,981429;13099800
"2008-03-20";5,177143;23524200
"2008-03-24";5,452857;16856000
"2008-03-25";5,302857;12001500
"2008-03-26";5,408571;10948700
"2008-03-27";5,194286;12809300
"2008-03-28";5,084286;9209900
"2008-03-31";4,95;14527800
"2008-04-01";5,215714;16173500
"2008-04-02";5,192857;9599100
"2008-04-03";5,332857;8990100
"2008-04-04";5,172857;6877500
"2008-04-07";5,128571;5357800
"2008-04-08";5,271429;6457500
"2008-04-09";5,202857;7982800
"2008-04-10";5,224286;5525800
"2008-04-11";5,072857;7887600
"2008-04-14";5,111429;6811000
"2008-04-15";5,211429;5721100
"2008-04-16";5,567143;15433600
"2008-04-17";5,814286;23908500
"2008-04-18";5,508571;14841400
"2008-04-21";5,617143;22172500
"2008-04-22";4,285714;73231900
"2008-04-23";4,465714;20147400
"2008-04-24";4,717143;13801200
"2008-04-25";4,851429;10159100
"2008-04-28";4,722857;10395700
"2008-04-29";4,597143;7233100
"2008-04-30";4,568571;10906000
"2008-05-01";4,428571;17323600
"2008-05-02";4,442857;7703500
"2008-05-05";4,428571;8323000
"2008-05-06";4,42;4996600
"2008-05-07";4,308571;6707400
"2008-05-08";4,307143;9996700
"2008-05-09";4,388571;4894400
"2008-05-12";4,387143;10579100
"2008-05-13";4,38;6391000
"2008-05-14";4,342857;7686000
"2008-05-15";4,275714;15273300
"2008-05-16";4,522857;14801500
"2008-05-19";4,425714;8920100
"2008-05-20";4,518571;31366300
"2008-05-21";4,527143;13125700
"2008-05-22";4,53;9313500
"2008-05-23";4,458571;9688700
"2008-05-27";4,575714;5602100
"2008-05-28";4,445714;13036100
"2008-05-29";4,335714;15862700
"2008-05-30";4,337143;8871100
"2008-06-02";4,412857;7801500
"2008-06-03";4,552857;9543800
"2008-06-04";4,624286;6671700
"2008-06-05";4,738571;10714900
"2008-06-06";4,545714;6703900
"2008-06-09";4,447143;6885200
"2008-06-10";4,375714;4574500
"2008-06-11";4,318571;5012000
"2008-06-12";4,43;4397400
"2008-06-13";4,602857;4724300
"2008-06-16";4,56;3552500
"2008-06-17";4,471429;3051300
"2008-06-18";4,311429;6950300
"2008-06-19";4,585714;8460900
"2008-06-20";4,485714;7775600
"2008-06-23";4,23;9176300
"2008-06-24";4,142857;10761100
"2008-06-25";4,228571;6297900
"2008-06-26";4,111429;8674400
"2008-06-27";3,82;14755300
"2008-06-30";3,724286;8149400
"2008-07-01";3,871429;17619700
"2008-07-02";3,892857;13204800
"2008-07-03";3,897143;10806600
"2008-07-07";4,035714;11434500
"2008-07-08";4,058571;10042900
"2008-07-09";4,088571;10674300
"2008-07-10";3,978571;8330700
"2008-07-11";3,887143;8615600
"2008-07-14";3,972857;17445400
"2008-07-15";3,958571;12454400
"2008-07-16";4,015714;9185400
"2008-07-17";3,968571;9594900
"2008-07-18";3,871429;9723000
"2008-07-21";3,907143;8987300
"2008-07-22";3,888571;16783200
"2008-07-23";3,997143;10553900
"2008-07-24";3,818571;12923400
"2008-07-25";3,978571;27176100
"2008-07-28";4,09;13051500
"2008-07-29";4,434286;19681200
"2008-07-30";4,361429;9216900
"2008-07-31";4,412857;14311500
"2008-08-01";4,174286;17635800
"2008-08-04";4,261429;11844000
"2008-08-05";4,27;8262800
"2008-08-06";4,285714;7778400
"2008-08-07";4,351429;10118500
"2008-08-08";4,435714;9188200
"2008-08-11";4,6;14011200
"2008-08-12";4,401429;8773800
"2008-08-13";4,451429;9330300
"2008-08-14";4,548571;13657000
"2008-08-15";4,465714;9751000
"2008-08-18";4,37;7690900
"2008-08-19";4,301429;6036800
"2008-08-20";4,36;5107200
"2008-08-21";4,285714;5387200
"2008-08-22";4,378571;5344500
"2008-08-25";4,277143;5709900
"2008-08-26";4,298571;10262700
"2008-08-27";4,377143;6292300
"2008-08-28";4,445714;8675800
"2008-08-29";4,405714;4333700
"2008-09-02";4,405714;8938300
"2008-09-03";4,415714;5409600
"2008-09-04";4,267143;13195000
"2008-09-05";4,237143;10923500
"2008-09-08";4,307143;11142600
"2008-09-09";4,105714;9315600
"2008-09-10";4,107143;8769600
"2008-09-11";4,118571;8371300
"2008-09-12";4,207143;7381500
"2008-09-15";4,015714;6594000
"2008-09-16";4,065714;10801700
"2008-09-17";4,122857;11447800
"2008-09-18";4,434286;18216800
"2008-09-19";4,562857;14959000
"2008-09-22";4,53;6972000
"2008-09-23";4,504286;5840800
"2008-09-24";4,538571;5910100
"2008-09-25";4,71;6216700
"2008-09-26";4,695714;3914400
"2008-09-29";4,514286;8029000
"2008-09-30";4,411429;10700200
"2008-10-01";4,291429;6501600
"2008-10-02";4,185714;5233200
"2008-10-03";4,138571;5013400
"2008-10-06";3,784286;28088200
"2008-10-07";3,187143;12485900
"2008-10-08";3,248571;13895000
"2008-10-09";3,277143;12521600
"2008-10-10";3,47;9565500
"2008-10-13";3,628571;8341900
"2008-10-14";3,434286;9631300
"2008-10-15";3,215714;5328400
"2008-10-16";3,35;9604700
"2008-10-17";3,328571;6604500
"2008-10-20";3,4;9104900
"2008-10-21";2,978571;14900900
"2008-10-22";2,957143;12454400
"2008-10-23";2,97;11550700
"2008-10-24";2,707143;12054700
"2008-10-27";2,562857;10336200
"2008-10-28";2,938571;14797300
"2008-10-29";3,108571;10268300
"2008-10-30";3,254286;8499400
"2008-10-31";3,537143;10673600
"2008-11-03";3,337143;9460500
"2008-11-04";3,432857;5430600
"2008-11-05";3,284286;5829600
"2008-11-06";3,068571;6739600
"2008-11-07";3,122857;5490800
"2008-11-10";3,075714;3045700
"2008-11-11";3,145714;4465300
"2008-11-12";2,957143;4350500
"2008-11-13";3,48;13511400
"2008-11-14";3,147143;9055200
"2008-11-17";3,035714;7175700
"2008-11-18";3,064286;6712300
"2008-11-19";2,935714;7198100
"2008-11-20";2,674286;12006400
"2008-11-21";2,855714;11310600
"2008-11-24";3,172857;13810300
"2008-11-25";3,09;7214200
"2008-11-26";3,267143;8019200
"2008-11-28";3,282857;2781100
"2008-12-01";3,148571;7054600
"2008-12-02";3,315714;6883800
"2008-12-03";3,401429;6189400
"2008-12-04";3,31;6727000
"2008-12-05";3,61;9088100
"2008-12-08";3,644286;9763600
"2008-12-09";4,012857;17894800
"2008-12-10";4,068571;8979600
"2008-12-11";4,02;12569900
"2008-12-12";4,072857;5471900
"2008-12-15";4,07;4821600
"2008-12-16";4,092857;9816800
"2008-12-17";4,112857;6004600
"2008-12-18";4,034286;5366200
"2008-12-19";3,955714;15471400
"2008-12-22";3,988571;8297100
"2008-12-23";3,878571;6005300
"2008-12-24";3,915714;2150400
"2008-12-26";4,065714;2457700
"2008-12-29";3,99;8669500
"2008-12-30";4,094286;3313800
"2008-12-31";4,27;6200600
"2009-01-02";4,267143;6605200
"2009-01-05";4,562857;13044500
"2009-01-06";4,705714;12065900
"2009-01-07";4,672857;10133900
"2009-01-08";4,735714;8175300
"2009-01-09";4,608571;5686100
"2009-01-12";4,458571;6524700
"2009-01-13";4,42;7823200
"2009-01-14";4,22;9045400
"2009-01-15";4,517143;7408100
"2009-01-16";4,465714;6655600
"2009-01-20";4,261429;5606300
"2009-01-21";4,384286;8064000
"2009-01-22";4,405714;7172900
"2009-01-23";4,348571;9434600
"2009-01-26";4,307143;15659700
"2009-01-27";4,974286;60159400
"2009-01-28";5,165714;18397400
"2009-01-29";5,268571;24274600
"2009-01-30";5,162857;18736900
"2009-02-02";5,278571;15437100
"2009-02-03";5,248571;17175200
"2009-02-04";5,264286;14547400
"2009-02-05";5,352857;14248500
"2009-02-06";5,285714;21145600
"2009-02-09";5,277143;10991400
"2009-02-10";5,167143;16384200
"2009-02-11";5,167143;13302100
"2009-02-12";5,418571;20511400
"2009-02-13";5,505714;20008800
"2009-02-17";5,317143;15198400
"2009-02-18";5,285714;13208300
"2009-02-19";5,298571;14897400
"2009-02-20";5,257143;11410700
"2009-02-23";5,082857;14423500
"2009-02-24";5,151429;14244300
"2009-02-25";5,112857;15887900
"2009-02-26";5,111429;10766700
"2009-02-27";5,177143;8995700
"2009-03-02";4,907143;15885100
"2009-03-03";5,194286;51740500
"2009-03-04";5,387143;14490000
"2009-03-05";5,414286;11335100
"2009-03-06";5,454286;8729700
"2009-03-09";5,5;11848900
"2009-03-10";5,5;16337300
"2009-03-11";5,355714;11030600
"2009-03-12";5,708571;14080500
"2009-03-13";5,624286;9539600
"2009-03-16";5,522857;12023900
"2009-03-17";5,827143;11903500
"2009-03-18";5,945714;16355500
"2009-03-19";5,93;12115600
"2009-03-20";5,95;13117300
"2009-03-23";6,2;14639800
"2009-03-24";6,202857;12205200
"2009-03-25";5,937143;18686500
"2009-03-26";5,964286;14459900
"2009-03-27";5,668571;11035500
"2009-03-30";6,004286;19396300
"2009-03-31";6,131429;12718300
"2009-04-01";6,124286;10427900
"2009-04-02";6,161429;11048800
"2009-04-03";6,152857;7205800
"2009-04-06";6,357143;12506900
"2009-04-07";6,242857;8216600
"2009-04-08";6,325714;6576500
"2009-04-09";6,707143;13811000
"2009-04-13";7,06;26653200
"2009-04-14";6,828571;16957500
"2009-04-15";6,655714;10913000
"2009-04-16";6,895714;9825200
"2009-04-17";6,975714;8985900
"2009-04-20";7,087143;10650500
"2009-04-21";6,657143;24563000
"2009-04-22";6,554286;12685400
"2009-04-23";6,474286;24576300
"2009-04-24";6,104286;30082500
"2009-04-27";6,624286;29344700
"2009-04-28";6,597143;16545900
"2009-04-29";6,461429;17892700
"2009-04-30";6,472857;12247200
"2009-05-01";6,354286;7328300
"2009-05-04";6,42;7936600
"2009-05-05";6,444286;7007700
"2009-05-06";6,141429;16352000
"2009-05-07";5,71;25173400
"2009-05-08";5,745714;24913000
"2009-05-11";5,657143;12990600
"2009-05-12";5,761429;13067600
"2009-05-13";5,378571;20459600
"2009-05-14";5,297143;14255500
"2009-05-15";5,5;16576000
"2009-05-18";5,538571;12098100
"2009-05-19";5,661429;13829900
"2009-05-20";5,75;15792700
"2009-05-21";5,587143;9964500
"2009-05-22";5,542857;4261600
"2009-05-26";5,727143;8136100
"2009-05-27";5,561429;9294600
"2009-05-28";5,505714;8086400
"2009-05-29";5,631429;13692000
"2009-06-01";5,848571;9718100
"2009-06-02";5,881429;9578100
"2009-06-03";5,785714;7412300
"2009-06-04";5,815714;9455600
"2009-06-05";5,598571;10232600
"2009-06-08";5,544286;8421000
"2009-06-09";5,572857;8010100
"2009-06-10";5,408571;13949600
"2009-06-11";5,391429;8565200
"2009-06-12";5,405714;7498400
"2009-06-15";5,451429;14079800
"2009-06-16";5,404286;11970000
"2009-06-17";5,771429;21534100
"2009-06-18";5,901429;12373200
"2009-06-19";5,941429;15915200
"2009-06-22";5,792857;12356400
"2009-06-23";5,652857;7968800
"2009-06-24";5,655714;8351000
"2009-06-25";5,872857;9097200
"2009-06-26";5,767143;48461000
"2009-06-29";5,885714;8628200
"2009-06-30";5,905714;11391800
"2009-07-01";5,802857;8613500
"2009-07-02";5,702857;7030800
"2009-07-06";5,682857;7912100
"2009-07-07";5,542857;7216300
"2009-07-08";5,528571;7617400
"2009-07-09";5,707143;12084100
"2009-07-10";5,724286;5254900
"2009-07-13";6,027143;29690500
"2009-07-14";6,185714;13967800
"2009-07-15";6,344286;9424800
"2009-07-16";6,304286;8621900
"2009-07-17";6,305714;8306200
"2009-07-20";6,402857;9681000
"2009-07-21";6,397143;9128700
"2009-07-22";6,468571;9833600
"2009-07-23";6,637143;20060600
"2009-07-24";6,028571;35719600
"2009-07-27";5,957143;15504300
"2009-07-28";6,048571;11682300
"2009-07-29";6,1;8586900
"2009-07-30";6,23;10226300
"2009-07-31";6,277143;7630000
"2009-08-03";6,424286;8444100
"2009-08-04";6,311429;8518300
"2009-08-05";6,33;6419700
"2009-08-06";6,214286;7716100
"2009-08-07";6,428571;9181200
"2009-08-10";6,542857;7541800
"2009-08-11";6,584286;5896100
"2009-08-12";6,611429;6157200
"2009-08-13";6,611429;5263300
"2009-08-14";6,355714;7927500
"2009-08-17";6,158571;6272000
"2009-08-18";6,221429;4278400
"2009-08-19";6,41;9780400
"2009-08-20";6,425714;6836900
"2009-08-21";6,442857;8526000
"2009-08-24";6,331429;7900900
"2009-08-25";6,351429;7168700
"2009-08-26";6,281429;5680500
"2009-08-27";6,25;9686600
"2009-08-28";6,317143;7205100
"2009-08-31";6,232857;5678400
"2009-09-01";6,021429;10955000
"2009-09-02";5,968571;6498100
"2009-09-03";5,755714;19494300
"2009-09-04";5,85;8542100
"2009-09-08";5,925714;7308000
"2009-09-09";6,175714;17747100
"2009-09-10";6,214286;10404100
"2009-09-11";6,094286;6797700
"2009-09-14";6,182857;5656700
"2009-09-15";6,424286;10293500
"2009-09-16";6,685714;12653200
"2009-09-17";6,634286;6533100
"2009-09-18";6,771429;12318600
"2009-09-21";6,785714;8175300
"2009-09-22";6,818571;6386800
"2009-09-23";6,692857;5079900
"2009-09-24";6,66;3733800
"2009-09-25";6,608571;4308500
"2009-09-28";6,567143;9012500
"2009-09-29";6,608571;9739800
"2009-09-30";6,595714;6714400
"2009-10-01";6,374286;8479800
"2009-10-02";6,388571;5773600
"2009-10-05";6,488571;8050000
"2009-10-06";6,595714;6304900
"2009-10-07";6,607143;3904600
"2009-10-08";6,577143;6747300
"2009-10-09";6,701429;4810400
"2009-10-12";6,58;7390600
"2009-10-13";6,641429;4514300
"2009-10-14";6,867143;7655200
"2009-10-15";7,192857;18520600
"2009-10-16";6,998571;8269100
"2009-10-19";7,114286;5580400
"2009-10-20";6,994286;7756000
"2009-10-21";6,835714;6847400
"2009-10-22";7,09;8807400
"2009-10-23";7,841429;50787800
"2009-10-26";7,881429;11316200
"2009-10-27";7,748571;9258900
"2009-10-28";7,648571;11095000
"2009-10-29";7,902857;9852500
"2009-10-30";7,635714;9387700
"2009-11-02";7,685714;5878600
"2009-11-03";7,678571;10738000
"2009-11-04";7,737143;7728000
"2009-11-05";8,055714;13412700
"2009-11-06";7,98;12005000
"2009-11-09";8,171429;8535100
"2009-11-10";8,342857;13188000
"2009-11-11";8,491429;10472000
"2009-11-12";8,312857;5187000
"2009-11-13";8,475714;5477500
"2009-11-16";8,494286;8026200
"2009-11-17";8,678571;9716700
"2009-11-18";8,732857;6591200
"2009-11-19";8,608571;4040400
"2009-11-20";8,567143;7789600
"2009-11-23";8,625714;4853100
"2009-11-24";8,524286;10400600
"2009-11-25";8,46;7613900
"2009-11-27";8,264286;5754700
"2009-11-30";8,375714;9074800
"2009-12-01";8,318571;13823600
"2009-12-02";8,428571;9093700
"2009-12-03";8,284286;8534400
"2009-12-04";8,032857;11601800
"2009-12-07";7,987143;9392600
"2009-12-08";7,988571;7777700
"2009-12-09";7,994286;5146400
"2009-12-10";8,105714;5913600
"2009-12-11";7,957143;5078500
"2009-12-14";8,058571;4818800
"2009-12-15";8,131429;5581800
"2009-12-16";7,868571;17007200
"2009-12-17";7,675714;10091200
"2009-12-18";7,61;10441900
"2009-12-21";7,708571;6855100
"2009-12-22";7,658571;11729200
"2009-12-23";8,121429;10452400
"2009-12-24";8,127143;3035200
"2009-12-28";8,191429;6006000
"2009-12-29";8,14;4839100
"2009-12-30";7,947143;4637500
"2009-12-31";7,87;5291300
"2010-01-04";7,64;17239600
"2010-01-05";7,358571;23753100
"2010-01-06";7,617143;23290400
"2010-01-07";7,485714;9955400
"2010-01-08";7,614286;8180900
"2010-01-11";7,604286;6783700
"2010-01-12";7,481429;6330100
"2010-01-13";7,708571;14422100
"2010-01-14";7,284286;17685500
"2010-01-15";7,278571;13031200
"2010-01-19";7,314286;5302500
"2010-01-20";7,32;9685200
"2010-01-21";7,312857;8614900
"2010-01-22";7,27;9395400
"2010-01-25";7,018571;13791400
"2010-01-26";7,135714;11343500
"2010-01-27";7,281429;23347100
"2010-01-28";9,005714;77352800
"2010-01-29";8,892857;24604300
"2010-02-01";8,718571;18914000
"2010-02-02";8,835714;10242400
"2010-02-03";8,85;8761200
"2010-02-04";8,62;11026400
"2010-02-05";8,691429;11099200
"2010-02-08";8,7;9346400
"2010-02-09";8,875714;8811600
"2010-02-10";8,784286;5807900
"2010-02-11";9,051429;7203700
"2010-02-12";9,025714;8408400
"2010-02-16";9,265714;9922500
"2010-02-17";9,215714;8134000
"2010-02-18";9,442857;8806000
"2010-02-19";9,521429;8813000
"2010-02-22";9,324286;35298200
"2010-02-23";9,192857;13049400
"2010-02-24";9,241429;12005700
"2010-02-25";9,372857;10717700
"2010-02-26";9,435714;8620500
"2010-03-01";9,957143;12866700
"2010-03-02";9,854286;11956700
"2010-03-03";9,65;22049300
"2010-03-04";9,715714;7063000
"2010-03-05";9,664286;9117500
"2010-03-08";9,811429;6064100
"2010-03-09";9,991429;14179900
"2010-03-10";10,182857;7744800
"2010-03-11";10,17;8457400
"2010-03-12";9,997143;9369500
"2010-03-15";9,942857;7012600
"2010-03-16";10,09;8498000
"2010-03-17";10,131429;4390400
"2010-03-18";10,077143;3593100
"2010-03-19";10,064286;9905700
"2010-03-22";10,412857;7216300
"2010-03-23";10,422857;4979100
"2010-03-24";10,338571;3399900
"2010-03-25";10,505714;8349600
"2010-03-26";10,614286;5427800
"2010-03-29";10,557143;5602100
"2010-03-30";10,722857;7662200
"2010-03-31";10,534286;5714800
"2010-04-01";10,714286;13577200
"2010-04-05";11,427143;16663500
"2010-04-06";11,91;27422500
"2010-04-07";11,39;25214700
"2010-04-08";11,69;13912500
"2010-04-09";11,774286;11563300
"2010-04-12";11,882857;9430400
"2010-04-13";12,34;17424400
"2010-04-14";12,51;18056500
"2010-04-15";12,404286;11999400
